BrandID,Name
229,Rochester Mills Brewing Company
230,Cape Ann Brewing Company
231,Borderlands Brewing Company
232,College Street Brewhouse and Pub
233,Joseph James Brewing Company
234,Harpoon Brewery
235,Back East Brewing Company
236,Champion Brewing Company
237,Devil's Backbone Brewing Company
238,Newburgh Brewing Company
239,Wiseacre Brewing Company
240,Golden Road Brewing
241,New Republic Brewing Company
242,Infamous Brewing Company
243,Two Henrys Brewing Company
244,Lift Bridge Brewing Company
245,Lucky Town Brewing Company
246,Quest Brewing Company
247,Creature Comforts
248,Half Full Brewery
249,Southampton Publick House
250,Chapman's Brewing
251,Barrio Brewing Company
252,Santa Cruz Mountain Brewing
253,Frankenmuth Brewery
254,Meckley's Cidery
255,Stillwater Artisanal Ales
256,Finch's Beer Company
257,South Austin Brewery
258,Bauhaus Brew Labs
259,Ozark Beer Company
260,Mountain Town Brewing Company 
261,Otter Creek Brewing
262,The Brewer's Art
263,Denver Beer Company
264,Ska Brewing Company
265,Tractor Brewing Company
266,Peak Organic Brewing Company
267,Cape Cod Beer
268,Long Trail Brewing Company
269,Great Raft Brewing Company
270,Alaskan Brewing Company
271,Notch Brewing Company
272,The Alchemist
273,Three Notch'd Brewing Company
274,Portside Brewery
275,Otter Creek Brewing
276,Montauk Brewing Company
277,Indeed Brewing Company
278,Berkshire Brewing Company
279,Foolproof Brewing Company
280,Headlands Brewing Company
281,Bolero Snort Brewery
282,Thunderhead Brewing Company
283,Defiance Brewing Company
284,Milwaukee Brewing Company
285,Catawba Island Brewing
286,Back Forty Beer Company
287,Four Corners Brewing Company
288,Saint Archer Brewery
289,Rogue Ales
290,Hale's Ales
291,Tommyknocker Brewery
292,Baxter Brewing Company
293,Northampton Brewery
294,Black Shirt Brewing Company
295,Wachusett Brewing Company
296,Widmer Brothers Brewing Company
297,Hop Farm Brewing Company
298,Liquid Hero Brewery
299,Matt Brewing Company
300,Boston Beer Company
301,Old Forge Brewing Company
302,Utah Brewers Cooperative
303,Magic Hat Brewing Company
304,Blue Hills Brewery
305,Night Shift Brewing
306,Beach Brewing Company
307,Payette Brewing Company
308,Brew Bus Brewing
309,Sockeye Brewing Company
310,Pine Street Brewery
311,Dirty Bucket Brewing Company
312,Jackalope Brewing Company
313,Slanted Rock Brewing Company
314,Piney River Brewing Company
315,Cutters Brewing Company
316,Iron Hill Brewery & Restaurant
317,Marshall Wharf Brewing Company
318,Banner Beer Company
319,Dick's Brewing Company
