TypeID,Name
301,Saison / Farmhouse Ale
302,American Pale Ale (APA)
303,Extra Special / Strong Bitter (ESB)
304,Extra Special / Strong Bitter (ESB)
305,Extra Special / Strong Bitter (ESB)
306,American Pale Ale (APA)
307,Mead
308,Mead
309,American Double / Imperial IPA
310,American Pale Ale (APA)
311,Extra Special / Strong Bitter (ESB)
312,Euro Pale Lager
313,American Pale Ale (APA)
314,Kölsch
315,American Stout
316,American Pale Wheat Ale
317,American Amber / Red Ale
318,American Pale Ale (APA)
319,American Black Ale
320,American White IPA
321,American Blonde Ale
322,Vienna Lager
323,Dortmunder / Export Lager
324,Altbier
325,Schwarzbier
326,Czech Pilsener
327,Vienna Lager
328,American IPA
329,Cream Ale
330,American Brown Ale
331,American IPA
332,Irish Dry Stout
333,Munich Helles Lager
334,Munich Helles Lager
335,American IPA
336,Scotch Ale / Wee Heavy
337,Czech Pilsener
338,Märzen / Oktoberfest
339,English India Pale Ale (IPA)
340,American Blonde Ale
341,American IPA
342,American Blonde Ale
343,American Blonde Ale
344,Extra Special / Strong Bitter (ESB)
345,Munich Dunkel Lager
346,American Pale Ale (APA)
347,Winter Warmer
348,American Porter
349,American Pale Ale (APA)
350,American Brown Ale
351,Czech Pilsener
352,American Blonde Ale
353,American IPA
354,American Porter
355,Radler
356,American IPA
357,Witbier
358,Bock
359,Vienna Lager
360,Vienna Lager
361,Märzen / Oktoberfest
362,American Pale Wheat Ale
363,Vienna Lager
364,American Pale Ale (APA)
365,American Pale Ale (APA)
366,American Pale Ale (APA)
367,American IPA
368,American Pale Ale (APA)
369,American IPA
370,English Dark Mild Ale
371,American Porter
372,American Porter
373,American IPA
374,Hefeweizen
375,American Amber / Red Ale
376,American Amber / Red Ale
377,Kölsch
378,American Pale Wheat Ale
379,American Pale Wheat Ale
380,American IPA
381,American Amber / Red Ale
382,Fruit / Vegetable Beer
383,American IPA
384,Irish Red Ale
385,American Pale Wheat Ale
386,American Pale Ale (APA)
387,American Amber / Red Ale
388,Saison / Farmhouse Ale
389,Belgian Pale Ale
390,American Double / Imperial Stout
391,American IPA
392,Rauchbier
393,Bière de Garde
394,Belgian IPA
395,Doppelbock
396,Saison / Farmhouse Ale
397,Witbier
398,Belgian IPA
399,Saison / Farmhouse Ale
400,Belgian IPA
401,Saison / Farmhouse Ale
402,Rye Beer
403,Dunkelweizen
404,Belgian Strong Pale Ale
405,Dubbel
406,Belgian Dark Ale
407,Belgian Dark Ale
408,Belgian Pale Ale
409,Witbier
410,Oatmeal Stout
411,American Porter
412,Quadrupel (Quad)
413,Rauchbier
414,Belgian IPA
415,Belgian Dark Ale
416,Belgian IPA
417,Rye Beer
418,American Stout
419,Fruit / Vegetable Beer
420,Belgian Dark Ale
421,Belgian Dark Ale
422,Belgian Pale Ale
423,Bière de Garde
424,Belgian Dark Ale
425,Witbier
426,American Stout
427,Belgian IPA
428,American Wild Ale
429,Fruit / Vegetable Beer
430,American Double / Imperial IPA
431,Bière de Garde
432,American Black Ale
433,Saison / Farmhouse Ale
434,Tripel
435,Belgian Dark Ale
436,American Amber / Red Ale
437,Quadrupel (Quad)
438,American Double / Imperial Stout
439,American Wild Ale
440,Bière de Garde
441,Russian Imperial Stout
442,American Amber / Red Ale
443,Saison / Farmhouse Ale
444,Tripel
445,Belgian IPA
446,Belgian Strong Dark Ale
447,Saison / Farmhouse Ale
448,Belgian Pale Ale
449,Belgian IPA
450,American Pale Ale (APA)
451,American Pale Wheat Ale
452,American Amber / Red Ale
453,American Amber / Red Ale
454,American Pale Ale (APA)
455,Cream Ale
456,American IPA
457,English India Pale Ale (IPA)
458,English Pale Mild Ale
459,English India Pale Ale (IPA)
460,English Pale Mild Ale
461,American Amber / Red Lager
462,American Amber / Red Lager
463,Belgian IPA
464,Maibock / Helles Bock
465,American Black Ale
466,Schwarzbier
467,American Amber / Red Ale
468,Herbed / Spiced Beer
469,Schwarzbier
470,Munich Helles Lager
471,American Pale Ale (APA)
472,American Blonde Ale
473,Witbier
474,American Double / Imperial IPA
475,American Brown Ale
476,American Black Ale
477,Fruit / Vegetable Beer
478,American Pale Ale (APA)
479,American Double / Imperial IPA
480,Cream Ale
481,American Pale Wheat Ale
482,American Pale Wheat Ale
483,American IPA
484,American IPA
485,American Pale Ale (APA)
486,American Pale Lager
487,American Pale Ale (APA)
488,Hefeweizen
489,American IPA
490,Milk / Sweet Stout
491,American Pale Ale (APA)
492,American Double / Imperial Stout
493,American Brown Ale
494,American Pale Ale (APA)
495,Kölsch
496,American IPA
497,American Double / Imperial IPA
498,American Porter
499,American Blonde Ale
500,American Amber / Red Ale
501,American IPA
